title,url,sources,notes,appears_in,appears_in_url
"Geographical distribution of refined material production for key energy transition minerals in the base case, 2023-2040",https://www.iea.org/data-and-statistics/charts/geographical-distribution-of-refined-material-production-for-key-energy-transition-minerals-in-the-base-case-2023-2040-2,,Graphite extraction is for natural flake graphite. The figures for rare earth elements are for magnet rare earth elements only. The figure depicts the value of the top three producing countries in a given year.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global cobalt demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-cobalt-demand-in-the-net-zero-scenario-2023-2040,,,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global graphite demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-graphite-demand-in-the-net-zero-scenario-2023-2040,,,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Market value of key energy transition minerals in the Announced Pledges Scenario and the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/market-value-of-key-energy-transition-minerals-in-the-announced-pledges-scenario-and-the-net-zero-scenario-2023-2040,,2023 annual average price levels are assumed to estimate the market size for the projection period.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Low-emissions hydrogen imports into Northwest Europe by status, based on announced projects, 2030-2040",https://www.iea.org/data-and-statistics/charts/low-emissions-hydrogen-imports-into-northwest-europe-by-status-based-on-announced-projects-2030-2040,"IEA Global Hydrogen Review 2023, https://www.iea.org/reports/global-hydrogen-review-2023.",,Regional cooperation key to tap into the North Sea’s hydrogen potential,https://www.iea.org/commentaries/regional-cooperation-key-to-tap-into-the-north-seas-hydrogen-potential
"Electric car registrations and sales share in China, United States and Europe, 2018-2023",https://www.iea.org/data-and-statistics/charts/electric-car-registrations-and-sales-share-in-china-united-states-and-europe-2018-2023,"IEA analysis based on country submissions, ACEA, EAFO, EV Volumes and Marklines.",BEV = battery electric vehicle; PHEV = plug-in hybrid vehicle.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle stock by mode in the Stated Policies Scenario, 2023-2035",https://www.iea.org/data-and-statistics/charts/electric-vehicle-stock-by-mode-in-the-stated-policies-scenario-2023-2035,,BEV = battery electric vehicle; PHEV = plug-in hybrid electric; PLDV = passenger light-duty vehicle; LCV = light commercial vehicle.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Heavy-duty vehicle charger capacity in the Stated Policies and Announced Pledges Scenarios, 2023-2035",https://www.iea.org/data-and-statistics/charts/heavy-duty-vehicle-charger-capacity-in-the-stated-policies-and-announced-pledges-scenarios-2023-2035,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Number of public light-duty vehicle slow chargers installed by region, 2023-2035",https://www.iea.org/data-and-statistics/charts/number-of-public-light-duty-vehicle-slow-chargers-installed-by-region-2023-2035,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario; EV = electric vehicle; EVSE = electric vehicle supply equipment. Regional projected EVSE stock data can be explored via the interactive Global EV Data Explorer.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle sales shares by mode in the Stated Policies and the Announced Pledges Scenarios in the rest of the world, 2030",https://www.iea.org/data-and-statistics/charts/electric-vehicle-sales-shares-by-mode-in-the-stated-policies-and-the-announced-pledges-scenarios-in-the-rest-of-the-world-2030,,"Rest of the world excludes China, Europe, India, Japan, and United States. STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario; NZE = Net Zero Emissions by 2050 Scenario; 2/3Ws = two/three-wheelers; LDVs = light-duty vehicles; BEV = battery electric vehicle; PHEV = plug-in hybrid electric vehicle. The countries included in Europe are listed in documentation related to IEA’s Global Energy and Climate Model. Regional projected EV sales and sales shares data can be explored in the interactive Global EV Data Explorer.(https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer).",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Global electric car stock, 2013-2023",https://www.iea.org/data-and-statistics/charts/global-electric-car-stock-2013-2023,"IEA analysis based on country submissions, ACEA, EAFO, EV Volumes and Marklines.",BEV = battery electric vehicle; PHEV = plug-in hybrid vehicle. Includes passenger cars only.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Breakdown of battery electric car sales in selected countries and regions by segment, 2018-2023",https://www.iea.org/data-and-statistics/charts/breakdown-of-battery-electric-car-sales-in-selected-countries-and-regions-by-segment-2018-2023,IEA analysis based on EV Volumes.,"BEV = battery electric vehicle; SUV = sports utility vehicle. Analysis based on sales-weighted registrations. Small cars include A and B segments. Medium cars include C and D segments as well as the A SUV segment. Large cars include E and F segments, multi-purpose vehicles, as well as the B SUV segment.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Number of available car models in 2023 and expected new ones by powertrain, country or region and segment, 2024-2028",https://www.iea.org/data-and-statistics/charts/number-of-available-car-models-in-2023-and-expected-new-ones-by-powertrain-country-or-region-and-segment-2024-2028,IEA analysis based on EV Volumes and Marklines.,"EV includes both BEVs and PHEVs. Data based on company announcements for new electric car model launches. “Launch” only refers to the expected models, not cumulative with currently available models .",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle stock by mode in the Announced Pledges Scenario, 2023-2035",https://www.iea.org/data-and-statistics/charts/electric-vehicle-stock-by-mode-in-the-announced-pledges-scenario-2023-2035,,BEV = battery electric vehicle; PHEV = plug-in hybrid electric; PLDV = passenger light-duty vehicle; LCV = light commercial vehicle.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric bus registrations and sales share by region, 2015-2023",https://www.iea.org/data-and-statistics/charts/electric-bus-registrations-and-sales-share-by-region-2015-2023,"IEA analysis based on country submissions and data from EV Volumes, as well as China EV100, CADA, CCVDA and Interact Analysis for sales data for China.",Only medium- and large-sized electric buses are included; minibuses and passenger vans are treated as light commercial vehicles.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric truck registrations and sales share by region, 2015-2023",https://www.iea.org/data-and-statistics/charts/electric-truck-registrations-and-sales-share-by-region-2015-2023,"IEA analysis based on country submissions and data from EV Volumes, as well as China EV100, CADA, CCVDA and Interact Analysis for sales data for China.",Trucks refers to medium- and heavy-duty freight trucks.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle sales share by mode and scenario, 2030",https://www.iea.org/data-and-statistics/charts/electric-vehicle-sales-share-by-mode-and-scenario-2030,,,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Heavy-duty vehicle charger stock in the Stated Policies and Announced Pledges Scenarios, 2023-2035",https://www.iea.org/data-and-statistics/charts/heavy-duty-vehicle-charger-stock-in-the-stated-policies-and-announced-pledges-scenarios-2023-2035,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario. Charger stock in 2023 is estimated based on the number of electric buses and trucks.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle sales share by mode and scenario, 2035",https://www.iea.org/data-and-statistics/charts/electric-vehicle-sales-share-by-mode-and-scenario-2035,,,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Light-duty vehicle charger stock, 2023-2035",https://www.iea.org/data-and-statistics/charts/light-duty-vehicle-charger-stock-2023-2035,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario. “Private – other” refers to charging points that are neither publicly accessible nor charging points at private residences. Home charging stock in 2023 is estimated based on electric light-duty vehicle stock and regional assumptions on electric vehicle supply equipment (EVSE)/electric vehicle (EV) ratios. Regional projected EVSE stock data can be explored via the interactive Global EV Data Explorer.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Light-duty vehicle charger capacity, 2023-2035",https://www.iea.org/data-and-statistics/charts/light-duty-vehicle-charger-capacity-2023-2035-2,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario. “Private – other” refers to charging points that are neither publicly accessible nor charging points at private residences. Home charging stock in 2023 is estimated based on electric light-duty vehicle stock and regional assumptions on electric vehicle supply equipment (EVSE)/electric vehicle (EV) ratios. Regional projected EVSE stock data can be explored via the interactive Global EV Data Explorer.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Number of public light-duty vehicle fast chargers installed by region, 2023-2035",https://www.iea.org/data-and-statistics/charts/number-of-public-light-duty-vehicle-fast-chargers-installed-by-region-2023-2035,,STEPS = Stated Policies Scenario; APS = Announced Pledges Scenario; EV = electric vehicle; EVSE = electric vehicle supply equipment. Regional projected EVSE stock data can be explored via the interactive Global EV Data Explorer.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric vehicle sales by region and scenario, 2030 and 2035",https://www.iea.org/data-and-statistics/charts/electric-vehicle-sales-by-region-and-scenario-2030-and-2035,,Regional EV sales projections can be explored in the interactive Global EV Data Explorer.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Status of CO2 storage infrastructure in development vs. planned capture capacity by region, 2023",https://www.iea.org/data-and-statistics/charts/status-of-co2-storage-infrastructure-in-development-vs-planned-capture-capacity-by-region-2023,"IEA (2024), CCUS Projects Database.","Includes commercial-scale projects (either for dedicated CO2 storage or CO2-enhanced oil recovery [EOR]) with a CO2 injection capacity over 100 000 t per year with an intended operational date planned of 2030 or earlier. Stacked columns refer to yearly injection capacity rather than total storage capacity. The line graph indicates the capture capacity. While most of the CO2 injected for EOR is retained in the reservoir over the life of the project, additional monitoring and verification is required to confirm that the CO2 has been permanently stored.",,
"Annual CO2 capture capacity vs CO2 storage capacity, current and planned, 2022-2030",https://www.iea.org/data-and-statistics/charts/annual-co2-capture-capacity-vs-co2-storage-capacity-current-and-planned-2022-2030,"IEA (2024), CCUS Projects Database.","“NZE” = Net Zero Emissions by 2050 Scenario. Includes large-scale projects with a CO2 capture or injection capacity of more than 100 000 t per year. Total CO2 storage includes plans for dedicated CO2 storage and CO2-enhanced oil recovery (CO2-EOR): while most of the CO2 injected for EOR is retained in the reservoir over the life of the project, additional monitoring and verification is required to confirm that the CO2 has been permanently stored.",,
"Annual CO2 storage capacity, current and planned vs Net Zero Scenario, 2020-2030",https://www.iea.org/data-and-statistics/charts/annual-co2-storage-capacity-current-and-planned-vs-net-zero-scenario-2020-2030-3,"IEA (2024), CCUS Projects Database.","“NZE” = Net Zero Emissions by 2050 Scenario. Includes commercial-scale projects with a CO2 capture or injection capacity of more than 100 000 t per year. Capture capacities, storage capacities, and planned operation dates come from individual project descriptions. Total CO2 storage includes plans for dedicated CO2 storage and CO2-enhanced oil recovery (CO2-EOR): while most of the CO2 injected for EOR is retained in the reservoir over the life of the project, additional monitoring and verification is required to confirm that the CO2 has been permanently stored.",,
Operating and planned CO2 storage facilities by storage type as of 2023,https://www.iea.org/data-and-statistics/charts/operating-and-planned-co2-storage-facilities-by-storage-type-as-of-2023,"IEA (2024), CCUS Projects Database.","Planned for 2030 includes facilities that are currently in operation. EOR = enhanced oil recovery. Includes commercial-scale projects with a CO2 injection capacity of over 100 000 t per year. While most of the CO2 injected for EOR is retained in the reservoir over the life of the project, additional monitoring and verification is required to confirm that the CO2 has been permanently stored.",,
"Operational and planned BECCS capture capacity by application vs. Net Zero Scenario, 2022-2030",https://www.iea.org/data-and-statistics/charts/operational-and-planned-beccs-capture-capacity-by-application-vs-net-zero-scenario-2022-2030-2,"IEA (2024), CCUS Projects Database.","Only includes captured biogenic emissions, and projects with capture capacities larger than 100 000 t CO2 per year. Some projects (e.g. cement or waste-to-energy facilities) also include capture of non-biogenic emissions in communicated capture capacities. When the fraction of biogenic emissions out of total captured CO2 is unknown, it is assumed that the share of biogenic emissions is 10% in cement facilities and 50% in waste-to-energy plants.",,
"CO2 capture by direct air capture, planned projects and in the Net Zero Emissions by 2050 Scenario, 2020-2030",https://www.iea.org/data-and-statistics/charts/co2-capture-by-direct-air-capture-planned-projects-and-in-the-net-zero-emissions-by-2050-scenario-2020-2030,,"NZE = Net Zero Emissions by 2050 Scenario. ‘’Early development’’ includes around 100 facilities recently announced by 1PointFive and Carbon Engineering (target operation year: 2035), for which locations and fate of carbon (storage or use) have not yet been finalised.",,
"Planned commercial CO2 use in synthetic fuel production by CO2 source compared to the Net Zero Scenario, 2022-2030",https://www.iea.org/data-and-statistics/charts/planned-commercial-co2-use-in-synthetic-fuel-production-by-co2-source-compared-to-the-net-zero-scenario-2022-2030,"IEA (2023), CCUS Projects Database: https://www.iea.org/data-and-statistics/data-product/ccus-projects-database","NZE = Net Zero Emissions by 2050 Scenario. Only includes carbon capture and utilisation projects with an identified capture facility for the source of the CO2, with a capacity larger than 100 000 t CO2 per year. When the fraction of biogenic emissions out of total captured CO2 is unknown, it is assumed that the share of biogenic emissions is 50% in waste-to-energy plants.",,
"Global renewable energy capacity by scenario, 2022 and 2030",https://www.iea.org/data-and-statistics/charts/global-renewable-energy-capacity-by-scenario-2022-and-2030,,"GW = gigawatts; PV = photovoltaics; STEPS = Stated Policies Scenario; NZE = Net Zero Emissions by 2050 Scenario. Other renewables include bioenergy, geothermal, concentrating solar power and marine.",Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Global installed energy storage capacity by scenario, 2023 and 2030",https://www.iea.org/data-and-statistics/charts/global-installed-energy-storage-capacity-by-scenario-2023-and-2030,,"GW = gigawatts; PV = photovoltaics; STEPS = Stated Policies Scenario; NZE = Net Zero Emissions by 2050 Scenario. Other storage includes compressed air energy storage, flywheel and thermal storage. Hydrogen electrolysers are not included.",Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Evolution of the CO2 capture project pipeline, 2012-Q1 2024",https://www.iea.org/data-and-statistics/charts/evolution-of-the-co2-capture-project-pipeline-2012-q1-2024,IEA (2024) CCUS Projects Database.,"Includes large-scale projects with a capture capacity over 100 000 t per year or with no announced capture capacity but a clear commercial scope. Capture projects for CO2 use are included as long as CO2 is used in fuels, chemicals, polymers, building materials, or for yield boosting. Within planned CCUS industrial hubs, only identified CO2 capture projects are included (not the full potential capture capacity of industrial hubs for which capture sources are not specified).",,
"Operating and planned CO2 capture capacity by application, Q1 2024 vs. 2030",https://www.iea.org/data-and-statistics/charts/operating-and-planned-co2-capture-capacity-by-application-q1-2024-vs-2030,"IEA (2023), CCUS Projects Database.","Includes commercial-scale projects with a capture capacity of more than 100 000 t per year. Capture projects for CO2 use are included as long as CO2 is used in fuels, chemicals, polymers, building materials, or for yield boosting. Within planned CCUS industrial hubs, only identified CO2 capture projects are included (not the full potential capture capacity of industrial hubs for which capture sources are not specified). Projects are included if they have either announced when they plan to take final investment decision (FID) or when they plan to start operating. For projects that have only announced a planned FID, a fixed construction time is applied. Hydrogen includes hydrogen and hydrogen-based fuels production, and hydrogen production in refineries.",,
"Capacity of current and planned large-scale CO2 capture projects vs. the Net Zero Scenario, 2020-2030",https://www.iea.org/data-and-statistics/charts/capacity-of-current-and-planned-large-scale-co2-capture-projects-vs-the-net-zero-scenario-2020-2030,IEA (2024) CCUS Projects Database.,"NZE = Net Zero Emissions by 2050 Scenario. Includes large-scale projects with a capture capacity over 100 000 t per year (1 000 t per year for DAC). Capture projects for CO2 use are included as long as CO2 is used in fuels, chemicals, polymers, building materials, or for yield boosting. Within planned CCUS industrial hubs, only identified CO2 capture projects are included (not the full potential capture capacity of industrial hubs for which capture sources are not specified).",,
"Operational and planned BECCS capture capacity vs. the Net Zero Scenario, 2022-2030",https://www.iea.org/data-and-statistics/charts/operational-and-planned-beccs-capture-capacity-vs-the-net-zero-scenario-2022-2030,IEA (2024) CCUS Projects Database.,"NZE = Net Zero Emissions by 2050 Scenario. Only includes captured biogenic emissions, and projects with capture capacities larger than 100 000 t CO2 per year. Some projects (e.g. cement or waste-to-energy facilities) also include capture of non-biogenic emissions in communicated capture capacities. When the fraction of biogenic emissions out of total captured CO2 is unknown, it is assumed that the share of biogenic emissions is 10% in cement facilities and 50% in waste-to-energy plants.",,
"Operating and planned CO2 capture capacity by region, Q1 2024 vs. 2030",https://www.iea.org/data-and-statistics/charts/operating-and-planned-co2-capture-capacity-by-region-q1-2024-vs-2030,"IEA (2024), CCUS Projects Database.","Includes large-scale projects with a capture capacity of more than 100 000 t per year (or 1 000 t per year for DAC). Capture projects for CO2 use are included as long as CO2 is used in fuels, chemicals, polymers, building materials, or for yield boosting. Within planned CCUS industrial hubs, only identified CO2 capture projects are included (not the full potential capture capacity of industrial hubs for which capture sources are not specified).",,
"Electric car sales, 2012-2024",https://www.iea.org/data-and-statistics/charts/electric-car-sales-2012-2024,IEA analysis based on data from EV Volumes (2024) and the China Passenger Car Association (2024).,2024 sales (“2024”) are estimated based on market trends through the first quarter of 2024.,Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Global battery storage capacity additions, 2010-2023",https://www.iea.org/data-and-statistics/charts/global-battery-storage-capacity-additions-2010-2023,,,Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"CO2 combustion emissions avoided by batteries and other technologies by scenario, 2023-2050",https://www.iea.org/data-and-statistics/charts/co2-combustion-emissions-avoided-by-batteries-and-other-technologies-by-scenario-2023-2050,,"Gt CO2 = gigatonnes of carbon dioxide; NZE = Net Zero Emissions by 2050 Scenario. Other includes energy efficiency improvements, hydrogen and other fuel shifts, nuclear, carbon capture, utilisation and storage, activity impact and behaviour measures.",Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Annual battery demand by application and scenario, 2023 and 2030",https://www.iea.org/data-and-statistics/charts/annual-battery-demand-by-application-and-scenario-2023-and-2030,,TWh = terawatt-hours; STEPS = Stated Policies Scenario; NZE = Net Zero Emissions by 2050 Scenario.,Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Battery pack market size by application and scenario, 2023 and 2030",https://www.iea.org/data-and-statistics/charts/battery-pack-market-size-by-application-and-scenario-2023-and-2030,,STEPS = Stated Policies Scenario; NZE = Net Zero Emissions by 2050 Scenario.,Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Average electric vehicle battery price in the Net Zero Scenario, 2023 and 2030",https://www.iea.org/data-and-statistics/charts/average-electric-vehicle-battery-price-in-the-net-zero-scenario-2023-and-2030,,,Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Electric car sales in the Stated Policies Scenario and in the Net Zero Scenario, 2023 and 2030",https://www.iea.org/data-and-statistics/charts/electric-car-sales-in-the-stated-policies-scenario-and-in-the-net-zero-scenario-2023-and-2030,,,Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"LCOE and value-adjusted LCOE for solar PV plus battery storage, coal and natural gas in selected regions in the Stated Policies Scenario, 2022-2030",https://www.iea.org/data-and-statistics/charts/lcoe-and-value-adjusted-lcoe-for-solar-pv-plus-battery-storage-coal-and-natural-gas-in-selected-regions-in-the-stated-policies-scenario-2022-2030,,"LCOE = levelised cost of electricity; VALCOE = value-adjusted LCOE; MER = market exchange rate. Solar PV with storage = solar PV installation paired with four-hour duration battery storage, scaled to 20% of the output capacity of the solar PV.",Batteries and Secure Energy Transitions,https://www.iea.org/reports/batteries-and-secure-energy-transitions
"Price gap between the sales-weighted average price of conventional and electric cars in selected countries, before subsidy, by size, in 2018 and 2022",https://www.iea.org/data-and-statistics/charts/price-gap-between-the-sales-weighted-average-price-of-conventional-and-electric-cars-in-selected-countries-before-subsidy-by-size-in-2018-and-2022,"IEA analysis based on data from IHS Markit, EV Volumes, Marklines and various sources for retail prices.","SUV = Sports utility vehicle. “All” includes all car sizes (small, medium, SUV, large and pick-up trucks). A positive value means that the sales-weighted average battery electric car is more expensive than its internal combustion engine equivalent.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Electric car sales in selected countries, by origin of carmaker, 2021-2023",https://www.iea.org/data-and-statistics/charts/electric-car-sales-in-selected-countries-by-origin-of-carmaker-2021-2023,IEA analysis based on data from EV Volumes.,"In the case of joint ventures between international incumbent carmakers and Chinese companies, sales are distributed among countries when model-level data are available (e.g. in the case of the GM-SAIC-Wuling joint venture, Wuling models are counted as headquartered in China, not the United States).",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
Daily average and peak natural gas demand across key gas markets during the 2023/24 winter,https://www.iea.org/data-and-statistics/charts/daily-average-and-peak-natural-gas-demand-across-key-gas-markets-during-the-2023-24-winter,,,"Gas Market Report, Q2-2024",https://www.iea.org/reports/gas-market-report-q2-2024
"Year-on-year change in natural gas demand by region, 2019-2024",https://www.iea.org/data-and-statistics/charts/year-on-year-change-in-natural-gas-demand-by-region-2019-2024,,,"Gas Market Report, Q2-2024",https://www.iea.org/reports/gas-market-report-q2-2024
